sep=\t
Module Resource Usage Distribution Estimates
Generated at: Oct 07, 2024 15:23:52

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
data_in_uart_control_top:data_in_uart_control_top           	    3199(0)	     114(0)	    1430(0)	    2339(0)	     0(0)	    93(0)	    37(0)	
 +data_loader_u:data_loader                                 	    134(35)	      26(0)	     88(19)	    136(52)	     0(0)	    12(0)	     0(0)	
  +u_data_in_fifo:data_in_fifo                              	      99(0)	      26(0)	      69(0)	      84(0)	     0(0)	    12(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_ac9a970141f64bf9914e9a48d4957631_renamed_due_excessive_length_1	      99(4)	      26(0)	      69(0)	      84(0)	     0(0)	    12(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_ac9a970141f64bf9914e9a48d4957631(FAMILY="TITANIUM",MODE="FWFT",WR_DEPTH=4096,RD_DEPTH=4096,WDATA_WIDTH=24,RDATA_WIDTH=24,WADDR_WIDTH=12,RADDR_WIDTH=12,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       1(1)	       0(0)	       4(4)	       0(0)	     0(0)	   12(12)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_ac9a970141f64bf9914e9a48d4957631_renamed_due_excessive_length_2	     94(94)	      26(0)	     65(65)	     84(36)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_ac9a970141f64bf9914e9a48d4957631(WIDTH=13)	       0(0)	       0(0)	       0(0)	     12(12)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_ac9a970141f64bf9914e9a48d4957631(STAGE=2,WIDTH=13)	       0(0)	     13(13)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_ac9a970141f64bf9914e9a48d4957631(WIDTH=13)	       0(0)	       0(0)	       0(0)	      12(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ac9a970141f64bf9914e9a48d4957631(WIDTH=12)	       0(0)	       0(0)	       0(0)	      11(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ac9a970141f64bf9914e9a48d4957631(WIDTH=11)	       0(0)	       0(0)	       0(0)	      10(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ac9a970141f64bf9914e9a48d4957631(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ac9a970141f64bf9914e9a48d4957631(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ac9a970141f64bf9914e9a48d4957631(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ac9a970141f64bf9914e9a48d4957631(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ac9a970141f64bf9914e9a48d4957631(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ac9a970141f64bf9914e9a48d4957631	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ac9a970141f64bf9914e9a48d4957631(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
