sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 23, 2024 17:44:31

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
example_top:example_top                                     	   9279(32)	    1870(0)	    4170(0)	  10818(89)	     0(0)	   223(0)	   136(0)	
 +ddr3_ctl_axi:DdrCtrl                                      	    2162(0)	     506(0)	     473(0)	    2415(0)	     0(0)	    27(0)	     0(0)	
  +u_efx_ddr3_soft_controller:efx_ddr3_soft_controller_59f7679412614c72b41c2615de2572f7	    2162(0)	     506(0)	     473(0)	    2415(0)	     0(0)	    27(0)	     0(0)	
   +genblk1.inst_ddr3_axi:efx_ddr3_axi_59f7679412614c72b41c2615de2572f7	  2162(333)	     506(0)	   473(131)	  2415(216)	     0(0)	    27(0)	     0(0)	
    +inst_arburst_fifo:Ddr_Ctrl_Sc_Fifo_59f7679412614c72b41c2615de2572f7(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       8(8)	     12(12)	     25(25)	     0(0)	     0(0)	     0(0)	
    +u_rd_addr_fifo:Ddr_Ctrl_Sc_Fifo_59f7679412614c72b41c2615de2572f7(DATA_DEPTH=32)	       7(7)	   116(116)	     12(12)	     73(73)	     0(0)	     0(0)	     0(0)	
    +u_wr_addr_fifo:Ddr_Ctrl_Sc_Fifo_59f7679412614c72b41c2615de2572f7(DATA_WIDTH=48,DATA_DEPTH=32)	       7(7)	   124(124)	     12(12)	     80(80)	     0(0)	     0(0)	     0(0)	
    +inst_awid_fifo:Ddr_Ctrl_Sc_Fifo_59f7679412614c72b41c2615de2572f7(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     12(12)	     0(0)	     0(0)	     0(0)	
    +inst_arid_fifo:Ddr_Ctrl_Sc_Fifo_59f7679412614c72b41c2615de2572f7(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     12(12)	     0(0)	     0(0)	     0(0)	
    +inst_respon_fifo:Ddr_Ctrl_Sc_Fifo_59f7679412614c72b41c2615de2572f7(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     13(13)	     0(0)	     0(0)	     0(0)	
    +inst_rd_brust_fifo:Ddr_Ctrl_Sc_Fifo_59f7679412614c72b41c2615de2572f7(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	     32(32)	     12(12)	     32(32)	     0(0)	     0(0)	     0(0)	
    +inst_rd_last_fifo:Ddr_Ctrl_Sc_Fifo_59f7679412614c72b41c2615de2572f7(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	     32(32)	     12(12)	     33(33)	     0(0)	     0(0)	     0(0)	
    +inst_respon_len_fifo:Ddr_Ctrl_Sc_Fifo_59f7679412614c72b41c2615de2572f7(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	     32(32)	     12(12)	     39(39)	     0(0)	     0(0)	     0(0)	
    +inst_efx_ddr3:top_59f7679412614c72b41c2615de2572f7     	  1766(188)	     162(0)	    234(64)	  1880(582)	     0(0)	    27(0)	     0(0)	
     +top_mc:controller_top_59f7679412614c72b41c2615de2572f7	   1566(27)	     160(0)	     170(0)	   1286(26)	     0(0)	    27(0)	     0(0)	
      +rst_ctrl0:reset_ctrl_59f7679412614c72b41c2615de2572f7(NUM_RST=4,CYCLE=4,IN_RST_ACTIVE=4'b0,OUT_RST_ACTIVE=4'b0)	      16(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_59f7679412614c72b41c2615de2572f7(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_59f7679412614c72b41c2615de2572f7(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[2].genblk1.genblk1.inst_sysclk_rstn:reset_sub_59f7679412614c72b41c2615de2572f7(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[3].genblk1.genblk1.inst_sysclk_rstn:reset_sub_59f7679412614c72b41c2615de2572f7(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +rst_ctrl1:reset_ctrl_59f7679412614c72b41c2615de2572f7(CYCLE=4,IN_RST_ACTIVE=4'b0,OUT_RST_ACTIVE=4'b0)	       4(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_59f7679412614c72b41c2615de2572f7(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +fifo_ar:streamfifocc64_59f7679412614c72b41c2615de2572f7(DATA_WIDTH=32)	     54(26)	       0(0)	       8(8)	     56(44)	     0(0)	     2(2)	     0(0)	
       +popToPushGray_buffercc:buffercc_59f7679412614c72b41c2615de2572f7	     14(14)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_59f7679412614c72b41c2615de2572f7	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
      +fifo_aw:streamfifocc64_59f7679412614c72b41c2615de2572f7(DATA_WIDTH=32)	     54(26)	       0(0)	       8(8)	     57(42)	     0(0)	     2(2)	     0(0)	
       +popToPushGray_buffercc:buffercc_59f7679412614c72b41c2615de2572f7	     14(14)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_59f7679412614c72b41c2615de2572f7	     14(14)	       0(0)	       0(0)	       7(7)	     0(0)	     0(0)	     0(0)	
      +fifo_wr:streamfifocc64_59f7679412614c72b41c2615de2572f7(DATA_WIDTH=144)	     54(26)	       0(0)	       8(8)	     53(41)	     0(0)	     8(8)	     0(0)	
       +popToPushGray_buffercc:buffercc_59f7679412614c72b41c2615de2572f7	     14(14)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_59f7679412614c72b41c2615de2572f7	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
      +fifo_rdpush:streamfifocc64_59f7679412614c72b41c2615de2572f7(DATA_WIDTH=1)	     54(26)	       0(0)	       8(8)	     47(33)	     0(0)	     0(0)	     0(0)	
       +popToPushGray_buffercc:buffercc_59f7679412614c72b41c2615de2572f7	     14(14)	       0(0)	       0(0)	       5(5)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_59f7679412614c72b41c2615de2572f7	     14(14)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
      +fifo_rd:efx_fifo_top_59f7679412614c72b41c2615de2572f7_renamed_due_excessive_length_1	      50(0)	      14(0)	      35(0)	      78(0)	     0(0)	     7(0)	     0(0)	
